question_id,L_qtok,L_lines,L_kw,L_ids,S_nest,S_cf,T_class,T_type,O_var,O_sim,H_N,H_D,H_W,H_amb,H_B,H_M,H_P,H_Dmax,H_Dmean,d_ptr,d_ref,d_arrow,d_scope,d_incr,d_assign,oop_nclass,oop_dinherit,oop_rcount,mem_stack,mem_heap,mem_static,mem_global,spc_compile,spc_runtime,spc_another
7,10,7,0.35714285714285715,2,1,0.0,0,3,0.0,0.4,6.0,3.667,6.633,0.7407,4.0,2.0,1.8,5.0,3.182,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0,0,0,1,0,0,0,0,0,0
8,10,9,0.35294117647058826,3,1,0.0,0,3,0.0,0.4,6.0,3.667,6.3,0.4872,4.0,1.0,1.0,4.0,2.333,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.11764705882352941,0,0,0,1,0,0,0,0,0,0
9,10,16,0.32,7,2,0.0,0,3,38.138888888888886,0.0,6.0,3.0,7.233,0.0218,3.0,2.0,1.5,4.0,2.889,0.0,0.08,0.0,0.0,0.04,0.2,0,0,0,1,0,0,0,1,1,1
10,10,14,0.4,2,2,1.5,0,3,21.805555555555557,0.6601731601731601,9.0,3.0,9.833,0.0128,4.0,2.0,1.5,5.0,3.143,0.0,0.05,0.0,0.0,0.1,0.15,0,0,0,1,0,0,0,1,1,1
11,10,11,0.25925925925925924,4,1,0.0,0,3,23.04,0.0,12.0,4.0,14.95,0.3044,4.0,1.0,1.0,5.0,2.667,0.0,0.07407407407407407,0.0,0.0,0.14814814814814814,0.2962962962962963,0,0,0,1,0,0,0,0,0,1
12,10,11,0.25925925925925924,4,1,0.0,0,3,30.47222222222222,0.0,3.333,3.667,4.667,0.003,4.0,2.0,1.6,4.0,3.125,0.0,0.07407407407407407,0.0,0.0,0.2222222222222222,0.2962962962962963,0,0,0,1,0,0,0,1,1,1
13,12,13,0.4117647058823529,2,2,2.5,0,1,27.6,0.0,4.333,3.0,4.867,0.2857,4.0,2.0,1.1,4.0,2.3,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0,0,0,1,0,0,0,0,0,1
14,13,0,0.0,0,0,0.0,0,0,4.6875,0.0,4.0,3.333,4.867,0.3884,4.0,2.0,1.6,5.0,4.167,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
15,10,8,0.4375,2,1,1.5,0,1,24.489795918367346,0.0,4.667,2.0,5.467,0.0113,2.0,1.0,0.5,5.0,3.3,0.0,0.0,0.0,0.0,0.0625,0.0625,0,0,0,1,0,0,0,1,1,1
16,10,12,0.36,3,1,0.0,0,1,36.22222222222222,0.0,11.0,3.667,12.167,0.0655,4.0,2.0,1.1,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,1,1
17,10,12,0.30434782608695654,2,1,0.0,0,1,26.16,0.0,12.667,4.0,16.767,0.1102,4.0,2.0,1.3,4.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1
18,10,11,0.3684210526315789,2,1,0.0,0,1,25.2,0.08333333333333333,8.333,3.0,8.567,0.0401,3.0,1.0,0.5,3.0,2.111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1
19,32,0,0.0,0,0,0.0,0,0,11.76,0.0,7.0,3.0,7.9,0.0164,3.0,2.0,1.1,5.0,4.444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
20,10,11,0.4666666666666667,2,1,0.0,0,1,36.64,0.0,5.667,2.0,6.4,0.0327,2.0,1.0,1.0,5.0,3.143,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0,0,0,1,0,0,1,1,1,1
21,10,6,0.5,0,1,0.0,0,1,34.56,0.0,5.667,2.0,6.467,0.1944,2.0,2.0,1.4,5.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,1,0
22,10,17,0.2702702702702703,5,1,4.0,0,1,32.55555555555556,0.3,10.667,3.0,12.1,0.3705,3.0,2.0,1.1,5.0,3.222,0.0,0.0,0.0,0.0,0.05405405405405406,0.13513513513513514,0,0,0,1,0,0,0,1,1,1
23,10,12,0.43902439024390244,6,1,0.0,0,1,18.1875,0.0,6.0,3.0,6.633,0.0043,3.0,2.0,1.1,4.0,2.667,0.0,0.0,0.0,0.0,0.0,0.0975609756097561,0,0,0,1,0,0,0,0,0,1
24,10,17,0.38636363636363635,6,1,0.0,0,1,23.04,0.4166666666666667,9.667,3.0,13.2,0.0354,4.0,3.0,2.1,4.0,3.667,0.0,0.0,0.0,0.0,0.022727272727272728,0.18181818181818182,0,0,0,1,0,0,1,0,0,1
25,10,12,0.5135135135135135,3,1,0.0,0,1,17.6,0.5,11.667,3.0,12.367,0.08,3.0,3.0,2.1,4.0,2.889,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0,0,0,1,0,0,0,0,0,1
26,10,10,0.4090909090909091,5,1,0.0,0,1,28.666666666666668,0.24444444444444446,9.333,3.0,10.533,0.2602,3.0,3.0,2.4,5.0,3.222,0.0,0.0,0.0,0.0,0.13636363636363635,0.09090909090909091,0,0,0,1,0,0,0,1,1,1
27,10,11,0.42857142857142855,4,1,0.0,0,1,34.53061224489796,0.3055555555555555,6.0,3.0,6.8,0.1582,3.0,2.0,1.6,4.0,2.6,0.0,0.0,0.0,0.0,0.14285714285714285,0.09523809523809523,0,0,0,1,0,0,0,1,1,1
28,10,10,0.4117647058823529,3,1,0.0,0,1,30.96,0.5,4.667,2.667,5.4,0.1527,3.0,1.0,0.5,4.0,3.167,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0,0,0,1,0,0,0,1,1,1
29,10,9,0.4444444444444444,1,1,1.5,0,1,23.04,0.3333333333333333,9.333,3.0,11.267,0.0365,4.0,2.0,1.8,4.0,3.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0,0,0,1,0,0,0,0,0,1
30,10,7,0.42857142857142855,1,1,0.0,0,1,18.96,0.0,5.333,3.0,5.967,0.0264,3.0,2.0,1.4,4.0,3.167,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0,0,0,1,0,0,0,1,1,1
31,10,7,0.42857142857142855,1,1,0.0,0,1,18.96,0.0,5.667,4.0,6.8,0.025,4.0,2.0,1.3,5.0,2.778,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0,0,0,1,0,0,0,1,1,1
32,15,10,0.4090909090909091,5,1,0.0,0,1,11.76,0.0,6.0,3.0,6.533,0.0108,3.0,2.0,1.4,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0,0,0,1,0,0,0,0,0,1
33,10,15,0.35714285714285715,4,1,0.0,0,1,23.04,0.3333333333333333,10.0,3.0,11.2,0.0875,4.0,3.0,2.1,4.0,3.333,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0,0,0,1,0,0,0,0,0,1
34,10,17,0.19444444444444445,10,1,0.0,0,3,28.666666666666668,0.48888888888888893,7.0,4.0,8.0,0.011,4.0,2.0,1.4,5.0,3.286,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.25,0,0,0,1,0,0,0,1,1,1
